,code,name,ind_code,ind
773,10660,화천기계,32902,특수 목적용 기계 제조업
771,10690,화신,33003,자동차 신품 부품 제조업
640,10770,평화홀딩스,33003,자동차 신품 부품 제조업
436,10780,아이에스동서,32302,"내화, 비내화 요업제품 제조업"
636,10820,퍼스텍,32502,무기 및 총포탄 제조업
77,10950,S-Oil,31902,석유 정제품 제조업
353,10960,삼호개발,64201,기반조성 및 시설물 축조관련 전문공사업
575,11000,진원생명과학,32102,의약품 제조업
57,11070,LG이노텍,32602,전자부품 제조업
442,11090,에넥스,33201,가구 제조업
9,11150,CJ씨푸드,31007,기타 식품 제조업
265,11170,롯데케미칼,32001,기초 화학물질 제조업
31,11200,HMM,85001,해상 운송업
753,11210,현대위아,33003,자동차 신품 부품 제조업
356,11230,삼화전자공업,32605,영상 및 음향기기 제조업
621,11280,태림포장,31702,"골판지, 종이 상자 및 종이용기 제조업"
376,11300,성안,31302,직물직조 및 직물제품 제조업
495,11330,유니켐,31501,"가죽, 가방 및 유사제품 제조업"
309,11390,부산산업,32303,"시멘트, 석회, 플라스터 및 그 제품 제조업"
106,11420,갤럭시아에스엠,189101,스포츠 서비스업
688,11500,한농화성,32004,기타 화학제품 제조업
500,11690,유양디앤유,32601,반도체 제조업
710,11700,한신기계공업,32901,일반 목적용 기계 제조업
757,11760,현대종합상사,74608,상품 종합 도매업
135,11780,금호석유화학,32001,기초 화학물질 제조업
85,11790,SKC,32004,기타 화학제품 제조업
97,11810,STX,74608,상품 종합 도매업
402,11930,신성이엔지,32601,반도체 제조업
12,12030,DB,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
470,12160,영흥,32401,1차 철강 제조업
616,12170,키위미디어그룹,105901,"영화, 비디오물, 방송프로그램 제작 및 배급업"
116,12200,계양전기,32901,일반 목적용 기계 제조업
469,12280,영화금속,33003,자동차 신품 부품 제조업
110,12320,경동인베스트,116409,기타 금융업
744,12330,현대모비스,33003,자동차 신품 부품 제조업
733,12450,한화에어로스페이스,33103,"항공기,우주선 및 부품 제조업"
206,12510,더존비즈온,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
579,12600,청호컴넷,32901,일반 목적용 기계 제조업
113,12610,경인양행,32001,기초 화학물질 제조업
27,12630,HDC,116409,기타 금융업
278,12690,모나리자,31709,기타 종이 및 판지 제품 제조업
444,12750,에스원,147503,"경비, 경호 및 탐정업"
192,12800,대창,32402,1차 비철금속 제조업
386,13000,세우글로벌,74607,기타 전문 도매업
529,13360,일성건설,64102,토목 건설업
768,13520,화승알앤에이,33003,자동차 신품 부품 제조업
251,13570,디와이,116409,기타 금융업
115,13580,계룡건설산업,64102,토목 건설업
142,13700,까뮤이앤씨,64101,건물 건설업
565,13870,지엠비코리아,33003,자동차 신품 부품 제조업
564,13890,지누스,33201,가구 제조업
714,14130,한익스프레스,84903,도로 화물 운송업
180,14160,대영포장,31702,"골판지, 종이 상자 및 종이용기 제조업"
131,14280,금강공업,32401,1차 철강 제조업
463,14440,영보화학,32202,플라스틱제품 제조업
130,14530,극동유화,31902,석유 정제품 제조업
617,14580,태경비케이,32303,"시멘트, 석회, 플라스터 및 그 제품 제조업"
704,14680,한솔케미칼,32001,기초 화학물질 제조업
318,14710,사조씨푸드,31002,수산물 가공 및 저장 처리업
